Date,Category,Type,Amount,City,Province,Country,Latitude,Longitude,PaymentMode,TransactionID
2026-01-15,Rent,Expense,1200.0,Detroit,Michigan,United States,42.3314,-83.0458,Debit Card,TXN-334053
2025-12-13,Groceries,Expense,298.86,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-719176
2025-02-17,Rent,Expense,1200.0,Toronto,Ontario,Canada,43.6532,-79.3832,Debit Card,TXN-629903
2025-04-12,Healthcare,Expense,289.25,Ottawa,Ontario,Canada,45.4215,-75.6972,Cash,TXN-331148
2026-02-19,Tech,Expense,349.03,Toronto,Ontario,Canada,43.6532,-79.3832,Cash,TXN-456778
2026-01-26,Dining,Expense,141.27,Windsor,Ontario,Canada,42.3149,-83.0364,Cash,TXN-201414
2025-11-06,Transport,Expense,113.16,Windsor,Ontario,Canada,42.3149,-83.0364,Cash,TXN-662275
2025-02-10,Cybersecurity,Expense,225.3,Ottawa,Ontario,Canada,45.4215,-75.6972,E-Transfer,TXN-705397
2025-01-24,Groceries,Expense,267.89,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-996865
2025-07-14,Groceries,Expense,118.41,Detroit,Michigan,United States,42.3314,-83.0458,Debit Card,TXN-488162
2025-12-26,Tech,Expense,375.3,Windsor,Ontario,Canada,42.3149,-83.0364,Debit Card,TXN-660086
2025-08-25,Utilities,Expense,157.99,Ottawa,Ontario,Canada,45.4215,-75.6972,Debit Card,TXN-817870
2025-04-28,Rent,Expense,1200.0,Windsor,Ontario,Canada,42.3149,-83.0364,E-Transfer,TXN-520651
2025-10-18,Dining,Expense,351.78,Detroit,Michigan,United States,42.3314,-83.0458,Debit Card,TXN-787277
2025-03-15,Entertainment,Expense,113.3,Toronto,Ontario,Canada,43.6532,-79.3832,E-Transfer,TXN-883300
2025-07-05,Cybersecurity,Expense,95.54,Toronto,Ontario,Canada,43.6532,-79.3832,Cash,TXN-195325
2025-03-20,Groceries,Expense,254.7,Kitchener,Ontario,Canada,43.4516,-80.4925,Credit Card,TXN-503457
